adm4Pcode,adm4NameLa,adm3NameLa,adm2NameLa,adm1NameLa,Population,codeName_3,POINT_X,POINT_Y
UKR4411646700,Sofiivskyi,Sofiivska,Krasnolutska,Luhanska,3950,urban type village,38.88411308,48.20247133
UKR4421683201,Nevske,Nevska,Kreminskyi,Luhanska,729,village,37.96959925,49.15342901
UKR4425180201,Butove,Chmyrivska,Starobilskyi,Luhanska,1008,village,38.93944605,49.26119661
UKR4424881001,Velyka Chernihivka,Velykochernihivska,Stanychno-Luhanskyi,Luhanska,1460,village,39.4092915,48.95556725
UKR4424882001,Harasymivka,Harasymivska,Stanychno-Luhanskyi,Luhanska,785,village,39.7027305,48.78177669
UKR4422256100,Heorhiivka,Heorhiivska,Lutuhynskyi,Luhanska,6493,urban type village,39.27303876,48.43296426
UKR4420985501,Kuriachivka,Bilokurakynska,Bilokurakynskyi,Luhanska,653,village,38.69255,49.64193456
UKR4422584401,Krasne Pole,Krasnopilska,Markivskyi,Luhanska,347,village,39.5180504,49.66894117
UKR4424883501,Nyzhnoteple,Nyzhnoteplivska,Stanychno-Luhanskyi,Luhanska,2096,village,39.35058331,48.79327486
UKR4425183001,Novoborove,Novoborivska,Starobilskyi,Luhanska,599,village,38.55184846,49.24148118
UKR4424286601,Novoborovytsi,Novoborovytska,Dovzhanskyi,Luhanska,824,village,39.500039,47.86381217
UKR4420687701,Lytvynivka,Lytvynivska,Bilovodskyi,Luhanska,1167,village,39.443099,49.30782985
UKR4422586601,Lisna Poliana,Lisnopolianska,Markivskyi,Luhanska,636,village,39.4724869,49.52379849
UKR4421487701,Velykyi Sukhodil,Velykosukhodilska,Sorokynskyi,Luhanska,1485,village,39.88349861,48.42558085
UKR4423655800,Horodyshche,Horodyshchenska,Perevalskyi,Luhanska,2499,urban type village,38.63307853,48.32165349
UKR4412391001,Blahivka,Blahivska,Rovenkivska,Luhanska,709,village,39.357495,47.95470613
UKR4421685401,Novokrasnianka,Novokrasnianska,Kreminskyi,Luhanska,1471,village,38.27034988,49.13679494
UKR4412746000,Dubove,Komsomolska,Sverdlovska,Luhanska,3089,urban type village,39.64705965,48.12411925
UKR4423881501,Holubivske,Holubivska,Popasnianskyi,Luhanska,1901,village,38.640041,48.69016091
UKR4422210100,Lutuhyne,Lutuhynska,Lutuhynskyi,Luhanska,17989,city,39.21130846,48.3961962
UKR4424081501,Kovalivka,Kovalivska,Svativskyi,Luhanska,428,village,38.01622825,49.32614453
UKR4421482201,Verkhnoshevyrivka,Verkhnoshevyrivska,Sorokynskyi,Luhanska,1716,village,39.71627119,48.26896759
UKR4424581101,Vesela Hora,Veselohirska,Slovianoserbskyi,Luhanska,1196,village,39.24691025,48.70845941
UKR4422281101,Vesela Tarasivka,Veselotarasivska,Lutuhynskyi,Luhanska,1368,village,39.109265,48.52983762
UKR4425180601,Vyshneve,Chmyrivska,Starobilskyi,Luhanska,687,village,39.09081255,49.24482083
UKR4423381501,Zaaidarivka,Zaaidarivska,Novopskovskyi,Luhanska,1586,village,39.1025375,49.55949272
UKR4422282201,Illiriia,Illiriiska,Lutuhynskyi,Luhanska,646,village,38.99244206,48.40348444
UKR4420688901,Novolymarivka,Novolymarivska,Bilovodskyi,Luhanska,819,village,39.60194584,49.27830463
UKR4420981001,Oleksandropil,Bilokurakynska,Bilokurakynskyi,Luhanska,463,village,38.85092111,49.68924563
UKR4420981501,Oleksiivka,Bilokurakynska,Bilokurakynskyi,Luhanska,687,village,38.76229675,49.42118389
UKR4421684301,Nova Astrakhan,Novoastrakhanska,Kreminskyi,Luhanska,2052,village,38.60719028,49.1258525
UKR4420986601,Lyzyne,Bilokurakynska,Bilokurakynskyi,Luhanska,514,village,38.8504,49.54656271
UKR4425483001,Novooleksandrivka,Novooleksandrivska,Troitskyi,Luhanska,471,village,38.1390435,49.78427685
UKR4420381101,Bobrykove,Bobrykivska,Antratsytivskyi,Luhanska,1101,village,39.22514305,47.93195124
UKR4425484001,Vivcharove,Vivcharivska,Troitskyi,Luhanska,654,village,38.62399725,49.84106299
UKR4420355300,Yesaulivka,Yesaulivska,Antratsytivskyi,Luhanska,1462,urban type village,39.02242441,48.04935869
UKR4423382001,Zakotne,Zakotnenska,Novopskovskyi,Luhanska,1269,village,38.9794365,49.4681264
UKR4423185601,Novookhtyrka,Novookhtyrska,Novoaidarskyi,Luhanska,935,village,38.8080445,48.91157757
UKR4423384001,Novorozsosh,Novorozsoshanska,Novopskovskyi,Luhanska,2024,village,39.2344955,49.5276004
UKR4424555400,Lozivskyi,Lozivska,Slovianoserbskyi,Luhanska,5023,urban type village,38.88212079,48.56379207
UKR4420983401,Demianivka,Bilokurakynska,Bilokurakynskyi,Luhanska,398,village,38.57100275,49.52694393
UKR4425180301,Vesele,Veselivska,Starobilskyi,Luhanska,1291,village,39.17875942,49.30107388
UKR4424581401,Vesniane,Vesnianenska,Slovianoserbskyi,Luhanska,867,village,38.70700397,48.63886249
UKR4424556200,Sentianivka,Frunzenska,Slovianoserbskyi,Luhanska,3255,urban type village,38.74627489,48.66888267
UKR4422882201,Zorykivka,Zorykivska,Milovskyi,Luhanska,824,village,39.83971625,49.41348629
UKR4422583301,Kabychivka,Kabychivska,Markivskyi,Luhanska,997,village,39.738234,49.46124926
UKR4421682201,Makiivka,Makiivska,Kreminskyi,Luhanska,831,village,37.990663,49.22751691
UKR4411670900,Petrovo-Krasnosillia,Petrovska,Krasnolutska,Luhanska,13260,city,38.87360256,48.29017896
UKR4424884001,Mykolaivka,Mykolaivska,Stanychno-Luhanskyi,Luhanska,2091,village,39.51849795,48.58943029
UKR4421682601,Mykhailivka,Mykhailivska,Kreminskyi,Luhanska,593,village,38.56473619,49.11009153
UKR4423180501,Oleksiivka,Oleksiivska,Novoaidarskyi,Luhanska,1018,village,39.17835692,49.01521194
UKR4422284401,Orikhivka,Orikhivska,Lutuhynskyi,Luhanska,1656,village,39.19799425,48.28419515
UKR4423186201,Pobieda,Pobiedivska,Novoaidarskyi,Luhanska,654,village,39.10461375,49.04517046
UKR4420986901,Neshcheretove,Bilokurakynska,Bilokurakynskyi,Luhanska,1200,village,38.8085162,49.40593508
UKR4422285501,Pershozvanivka,Pershozvanivska,Lutuhynskyi,Luhanska,1071,village,39.42238269,48.33893256
UKR4423683301,Petrivka,Petrivska,Perevalskyi,Luhanska,411,village,38.805465,48.5273791
UKR4424085501,Korzhove,Petrivska,Svativskyi,Luhanska,932,village,38.3704505,49.36555569
UKR4411400000,Sorokyne,Krasnodonska,Krasnodonska,Luhanska,44283,city,39.74162475,48.29487597
UKR4411470700,Sukhodilsk,Sukhodilska,Krasnodonska,Luhanska,21061,city,39.72790876,48.35389256
UKR4425181501,Karaiashnyk,Karaiashnytska,Starobilskyi,Luhanska,283,village,39.230269,49.36650864
UKR4411445600,Izvaryne,Izvarynska,Krasnodonska,Luhanska,1692,urban type village,39.8900621,48.28810948
UKR4420356200,Malomykolaivka,Malomykolaivska,Antratsytivskyi,Luhanska,1719,urban type village,39.01840741,48.30740877
UKR4423857200,Maloriazantseve,Maloriazantsivska,Popasnianskyi,Luhanska,983,urban type village,38.37338075,48.88847244
UKR4422881101,Velykotsk,Velykotska,Milovskyi,Luhanska,1493,village,40.029046,49.34762932
UKR4424884501,Nyzhnia Vilkhova,Vilkhivska,Stanychno-Luhanskyi,Luhanska,823,village,39.575962,48.73279292
UKR4422281301,Volnukhyne,Volnukhynska,Lutuhynskyi,Luhanska,259,village,39.285581,48.35075518
UKR4422257000,Cheliuskinets,Cheliuskinetska,Lutuhynskyi,Luhanska,1324,urban type village,39.19842831,48.4354588
UKR4425484501,Pokrovske,Pokrovska,Troitskyi,Luhanska,1968,village,38.22766325,49.73919498
UKR4411647600,Shterivka,Shterivska,Krasnolutska,Luhanska,1273,urban type village,38.94578748,48.3144623
UKR4410346900,Shchotove,Shchotivska,Antratsytska,Luhanska,3711,urban type village,39.11595541,48.16845222
